562,1465945629096,5,0.465929
920,1465945629096,6,0.311311
70,1465945629074,1,0.512044
838,1465945629100,9,0.125477
726,1465945629096,2,0.602351
676,1465945629092,9,0.124206
114,1465945629083,5,0.511866
714,1465945629085,1,0.065209
658,1465945629098,9,0.626968
744,1465945629064,4,0.763585
594,1465945629075,6,0.376018
606,1465945629078,3,0.444225
578,1465945629081,6,0.732913
220,1465945629097,6,0.421884
354,1465945629078,4,0.921900
488,1465945629082,3,0.367455
386,1465945629070,8,0.585389
868,1465945629081,7,0.969343
316,1465945629102,2,0.512986
742,1465945629072,3,0.806023
160,1465945629090,5,0.993590
988,1465945629073,8,0.404478
818,1465945629080,8,0.946936
330,1465945629089,1,0.898959
644,1465945629100,5,0.333617
910,1465945629099,9,0.750159
368,1465945629086,2,0.758438
962,1465945629092,8,0.278143
666,1465945629067,9,0.983218
378,1465945629071,1,0.592388
218,1465945629100,5,0.441976
602,1465945629088,3,0.836098
338,1465945629080,1,0.371082
636,1465945629071,8,0.164355
630,1465945629074,5,0.512900
226,1465945629086,8,0.816177
198,1465945629079,9,0.815678
538,1465945629088,2,0.936937
18,1465945629073,3,0.058172
770,1465945629074,1,0.852064
564,1465945629101,2,0.133913
292,1465945629067,3,0.469618
536,1465945629092,4,0.145979
556,1465945629093,6,0.720764
684,1465945629084,7,0.606802
852,1465945629094,8,0.047067
422,1465945629066,7,0.448390
478,1465945629065,6,0.476340
618,1465945629088,5,0.998589
814,1465945629089,6,0.075117
332,1465945629090,1,0.682608
166,1465945629090,4,0.780312
12,1465945629096,8,0.597088
790,1465945629072,3,0.760319
660,1465945629099,7,0.257690
108,1465945629083,3,0.292051
874,1465945629074,9,0.415407
984,1465945629074,7,0.843480
686,1465945629079,6,0.161882
130,1465945629090,7,0.728237
420,1465945629093,9,0.144377
484,1465945629103,4,0.909335
784,1465945629084,9,0.335652
912,1465945629091,2,0.681334
370,1465945629083,6,0.021307
938,1465945629100,5,0.934547
310,1465945629064,2,0.200586
882,1465945629083,6,0.922640
216,1465945629093,4,0.951524
128,1465945629070,8,0.469138
876,1465945629071,2,0.289557
528,1465945629084,3,0.173868
304,1465945629103,5,0.086977
722,1465945629101,1,0.513575
624,1465945629079,9,0.096754
400,1465945629093,2,0.937316
956,1465945629089,5,0.612513
94,1465945629074,4,0.645408
786,1465945629076,8,0.486916
600,1465945629072,4,0.852680
