452,1465978646929,6
130,1465978646932,3
101,1465978646932,4
396,1465978646930,4
116,1465978646929,2
764,1465978646933,1
898,1465978646931,9
65,1465978646931,3
917,1465978646931,4
370,1465978646930,6
968,1465978646933,1
230,1465978646933,1
453,1465978646929,1
754,1465978646931,4
50,1465978646929,4
235,1465978646929,7
644,1465978646932,6
720,1465978646931,3
492,1465978646932,5
290,1465978646930,8
869,1465978646931,8
271,1465978646933,9
137,1465978646932,3
254,1465978646929,3
316,1465978646933,3
686,1465978646930,8
129,1465978646932,9
900,1465978646931,7
977,1465978646930,3
674,1465978646930,4
730,1465978646929,5
342,1465978646930,2
778,1465978646933,6
173,1465978646929,1
425,1465978646929,4
20,1465978646932,1
947,1465978646931,8
665,1465978646932,4
587,1465978646931,5
839,1465978646929,6
762,1465978646931,5
606,1465978646929,6
95,1465978646932,9
534,1465978646930,2
576,1465978646930,2
469,1465978646932,9
706,1465978646929,6
415,1465978646930,8
140,1465978646931,3
877,1465978646932,2
517,1465978646933,9
738,1465978646933,9
807,1465978646929,9
698,1465978646931,8
136,1465978646931,3
251,1465978646930,4
810,1465978646928,3
547,1465978646928,4
654,1465978646931,6
729,1465978646930,3
976,1465978646929,4
866,1465978646932,1
353,1465978646932,3
888,1465978646932,3
74,1465978646933,3
638,1465978646930,8
2,1465978646932,3
827,1465978646930,2
401,1465978646929,2
943,1465978646931,5
903,1465978646933,1
212,1465978646929,2
822,1465978646929,3
647,1465978646932,9
861,1465978646930,1
107,1465978646930,1
297,1465978646932,7
843,1465978646930,3
102,1465978646931,5
122,1465978646933,4
456,1465978646933,1
577,1465978646930,2
221,1465978646932,2
704,1465978646933,6
653,1465978646929,5
449,1465978646931,6
774,1465978646931,2
997,1465978646929,8
356,1465978646933,7
182,1465978646931,1
904,1465978646933,1
666,1465978646930,2
836,1465978646933,8
926,1465978646932,2
509,1465978646930,4
723,1465978646929,3
953,1465978646930,8
687,1465978646932,9
800,1465978646932,9
761,1465978646930,8
252,1465978646929,3
993,1465978646930,4
559,1465978646930,3
882,1465978646932,3
920,1465978646932,2
849,1465978646929,7
569,1465978646933,9
661,1465978646929,5
688,1465978646929,8
376,1465978646932,6
554,1465978646931,6
392,1465978646931,9
336,1465978646929,1
428,1465978646932,4
583,1465978646930,9
842,1465978646933,5
795,1465978646933,1
897,1465978646932,3
911,1465978646930,6
733,1465978646931,3
196,1465978646931,7
282,1465978646929,4
571,1465978646929,7
377,1465978646930,1
537,1465978646932,7
722,1465978646929,8
229,1465978646929,9
823,1465978646933,6
592,1465978646933,9
